Node_GAS,Gen_ID,Prime Mover,Fuel,Clumps
5,P2G21,Electrolysis,Electrolysis,Power-to-Gas
6,P2G22,Electrolysis,Electrolysis,Power-to-Gas
7,P2G23,Electrolysis,Electrolysis,Power-to-Gas
8,P2G24,Electrolysis,Electrolysis,Power-to-Gas
9,P2G25,Electrolysis,Electrolysis,Power-to-Gas
10,P2G26,Electrolysis,Electrolysis,Power-to-Gas
11,P2G27,Electrolysis,Electrolysis,Power-to-Gas
12,P2G28,Electrolysis,Electrolysis,Power-to-Gas
13,P2G29,Electrolysis,Electrolysis,Power-to-Gas
14,P2G30,Electrolysis,Electrolysis,Power-to-Gas
15,P2G31,Electrolysis,Electrolysis,Power-to-Gas
16,P2G32,Electrolysis,Electrolysis,Power-to-Gas
1,P2G33,Net-zero CH4,Net-zero CH4,Power-to-Gas
2,P2G34,Net-zero CH4,Net-zero CH4,Power-to-Gas
3,P2G35,Net-zero CH4,Net-zero CH4,Power-to-Gas
4,P2G36,Net-zero CH4,Net-zero CH4,Power-to-Gas
5,P2G37,Net-zero CH4,Net-zero CH4,Power-to-Gas
6,P2G38,Net-zero CH4,Net-zero CH4,Power-to-Gas
7,P2G39,Net-zero CH4,Net-zero CH4,Power-to-Gas
8,P2G40,Net-zero CH4,Net-zero CH4,Power-to-Gas
9,P2G41,Net-zero CH4,Net-zero CH4,Power-to-Gas
10,P2G42,Net-zero CH4,Net-zero CH4,Power-to-Gas
11,P2G43,Net-zero CH4,Net-zero CH4,Power-to-Gas
12,P2G44,Net-zero CH4,Net-zero CH4,Power-to-Gas
13,P2G45,Net-zero CH4,Net-zero CH4,Power-to-Gas
14,P2G46,Net-zero CH4,Net-zero CH4,Power-to-Gas
15,P2G47,Net-zero CH4,Net-zero CH4,Power-to-Gas
16,P2G48,Net-zero CH4,Net-zero CH4,Power-to-Gas
11,1,Underground gas storage,Underground gas storage,Long-Duration Storage
11,2,Underground gas storage,Underground gas storage,Long-Duration Storage
12,3,Underground gas storage,Underground gas storage,Long-Duration Storage
9,4,Underground gas storage,Underground gas storage,Long-Duration Storage
6,5,Underground gas storage,Underground gas storage,Long-Duration Storage
9,6,Underground gas storage,Underground gas storage,Long-Duration Storage
13,7,Underground gas storage,Underground gas storage,Long-Duration Storage
12,8,Underground gas storage,Underground gas storage,Long-Duration Storage
12,9,Underground gas storage,Underground gas storage,Long-Duration Storage
12,10,Underground gas storage,Underground gas storage,Long-Duration Storage
6,11,Underground gas storage,Underground gas storage,Long-Duration Storage
12,12,Underground gas storage,Underground gas storage,Long-Duration Storage
12,13,Underground gas storage,Underground gas storage,Long-Duration Storage
12,14,Underground gas storage,Underground gas storage,Long-Duration Storage
