CZ,Net Cost [Mid],Net Cost [Low],Net Cost [High],Appliance Count,Rep Day Consumption [MWh],Upgrade Cost,Elec Appliance Cost [High],Gas Appliance Cost [High],Elec Appliance Cost [Low],Gas Appliance Cost [Low]
15,-378.5923049,-50.70329061,-378.5923049,1941,8.61877,507,4690,8460,7757,8701
16,-372.3637199,-34.22108737,-372.3637199,2191,8.35742,658,4690,8460,7757,8701
1,12936.44519,9501.498336,16723.76936,379,1.02447,853,18860,2580,11800,2919
2,2907.48722,2123.287977,3772.134297,4410,4.48738,647,18860,2580,11800,2919
3,1675.372659,1227.035291,2169.703147,14965,7.849,750,18860,2580,11800,2919
4,2468.19502,1802.786434,3201.865186,8888,5.28848,653,18860,2580,11800,2919
5,3278.659767,2396.782237,4251.005551,2153,3.99035,683,18860,2580,11800,2919
6,4152.548255,3042.320531,5376.669759,8442,3.16962,762,18860,2580,11800,2919
7,1663.096695,1214.427785,2157.792738,6451,7.8432,644,18860,2580,11800,2919
8,4487.337609,3281.738201,5816.614592,12504,2.91888,698,18860,2580,11800,2919
9,1568.13051,1148.236181,2031.100102,13048,8.38068,742,18860,2580,11800,2919
10,4781.244162,3466.467401,6230.898562,7411,2.6765,397,18860,2580,11800,2919
11,4557.494219,3324.574312,5916.894401,2775,2.8542,608,18860,2580,11800,2919
12,1929.213766,1407.872709,2504.037097,11686,6.7499,622,18860,2580,11800,2919
13,1880.473124,1370.698459,2442.543513,6000,6.90305,581,18860,2580,11800,2919
14,2157.856405,1563.220799,2813.493277,2059,5.91791,370,18860,2580,11800,2919
15,2119.000243,1541.270185,2755.997294,942,6.09108,507,18860,2580,11800,2919
16,3634.481089,2655.024897,4714.415736,1145,3.59281,658,18860,2580,11800,2919
1,-825.4308453,-2141.408729,-381.9984942,11880,2.16493,853,8620,10300,5498,10987
2,-1315.320548,-3195.57556,-681.7491849,101056,1.51522,647,8620,10300,5498,10987
3,-2247.53841,-5635.494458,-1105.931599,438462,0.84092,750,8620,10300,5498,10987
4,-3279.581428,-7981.910311,-1695.083104,80549,0.60587,653,8620,10300,5498,10987
5,-4032.889585,-9903.969006,-2054.568685,14097,0.48526,683,8620,10300,5498,10987
6,-5300.443115,-13341.42418,-2590.951427,449081,0.35431,762,8620,10300,5498,10987
7,-6286.812183,-15260.32316,-3263.094901,284201,0.31749,644,8620,10300,5498,10987
8,-5353.549276,-13207.44314,-2707.098553,464641,0.36275,698,8620,10300,5498,10987
9,-5297.976274,-13250.52338,-2618.283322,920607,0.35825,742,8620,10300,5498,10987
10,-3813.65298,-8657.65536,-2181.416305,851461,0.58815,397,8620,10300,5498,10987
11,-1201.485301,-2886.048107,-633.85445,263953,1.69124,608,8620,10300,5498,10987
12,-1388.19143,-3348.031561,-727.8030392,924992,1.45369,622,8620,10300,5498,10987
13,-2426.778243,-5784.666156,-1295.3032,440269,0.84845,581,8620,10300,5498,10987
14,-8296.17718,-18708.42775,-4787.661721,195523,0.27362,370,8620,10300,5498,10987
15,-3972.880851,-9279.368213,-2184.805081,93659,0.53689,507,8620,10300,5498,10987
16,-1548.48589,-3774.336698,-798.462452,80732,1.27996,658,8620,10300,5498,10987
1,1349.966324,1893.662089,-455.8454616,107,1.02447,853,18860,20180,11800,10713
2,262.2911365,386.4170184,-149.9761554,1419,4.48738,647,18860,20180,11800,10713
3,163.0780991,234.0425532,-72.62071601,5382,7.849,750,18860,20180,11800,10713
4,223.6937646,329.0170332,-126.1231961,1066,5.28848,653,18860,20180,11800,10713
5,303.9833599,443.5701129,-159.6351197,346,3.99035,683,18860,20180,11800,10713
6,407.6198409,583.3506856,-176.0463399,5218,3.16962,762,18860,20180,11800,10713
7,149.6838025,220.7007344,-86.18931049,2917,7.8432,644,18860,20180,11800,10713
8,420.7093132,611.5359316,-213.0954339,8068,2.91888,698,18860,20180,11800,10713
9,151.77766,218.2400473,-68.96815056,12089,8.38068,742,18860,20180,11800,10713
10,346.3478423,554.4554455,-344.8533533,10387,2.6765,397,18860,20180,11800,10713
11,398.710672,593.8616775,-249.4569406,2265,2.8542,608,18860,20180,11800,10713
12,170.6691951,253.1889361,-103.4089394,10779,6.7499,622,18860,20180,11800,10713
13,160.9433511,241.6323219,-107.0541282,5341,6.90305,581,18860,20180,11800,10713
14,152.0807177,246.2017841,-160.5296464,2658,5.91791,370,18860,20180,11800,10713
15,170.2489542,261.6941495,-133.4738667,994,6.09108,507,18860,20180,11800,10713
16,330.6604023,485.6922576,-184.2568908,869,3.59281,658,18860,20180,11800,10713
