,Node_ELEC,Node_GAS,Storage_ID,Prime Mover,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Duration [hours],Charge efficiency [%],Discharge efficiency [%],Loss efficiency [%],Economic Lifetime [years],Lifetime [years],Install Year,Forced Retirement
215,12,12,ONeill,Pumped hydro storage,1,4.2,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
216,12,12,ONeill,Pumped hydro storage,1,4.2,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
217,12,12,ONeill,Pumped hydro storage,1,4.2,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
218,12,12,ONeill,Pumped hydro storage,1,4.2,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
219,12,12,ONeill,Pumped hydro storage,1,4.2,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
220,12,12,W R Gianelli,Pumped hydro storage,1,53.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
221,12,12,W R Gianelli,Pumped hydro storage,1,53.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
222,12,12,W R Gianelli,Pumped hydro storage,1,53.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
223,12,12,W R Gianelli,Pumped hydro storage,1,53.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
224,12,12,W R Gianelli,Pumped hydro storage,1,53.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
225,12,12,W R Gianelli,Pumped hydro storage,1,53.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
226,12,12,W R Gianelli,Pumped hydro storage,1,53.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
227,13,13,BAT61,Pumped hydro storage,0,10.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
228,14,14,BAT62,Pumped hydro storage,0,10.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
229,15,15,BAT63,Pumped hydro storage,0,10.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
230,16,16,BAT64,Pumped hydro storage,0,10.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
231,16,16,Helms Pumped Storage,Pumped hydro storage,1,351.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
232,16,16,Helms Pumped Storage,Pumped hydro storage,1,351.0,0,0,8.0,0.8,0.7,1.3889e-05,50,50,2050,2050
