1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
44,210,1780,702,191,1296,676,2089,3326,1481,377,3892,5373,1280,212,478,0,0,0,0,0,0
42,197,1708,651,182,1226,629,1983,3195,1362,351,3783,5311,1256,196,470,0,0,0,0,0,0
42,179,1624,603,175,1148,563,1842,3044,1226,340,3666,5254,1214,176,460,0,0,0,0,0,0
40,179,1627,594,174,1145,564,1839,3040,1218,342,3662,5257,1219,177,460,0,0,0,0,0,0
41,180,1631,608,175,1165,567,1858,3073,1232,347,3675,5264,1221,182,457,0,0,0,0,0,0
40,177,1627,608,173,1162,591,1865,3071,1224,342,3647,5248,1221,173,452,0,0,0,0,0,0
39,169,1600,590,171,1129,554,1834,3022,1178,338,3626,5227,1208,178,450,0,0,0,0,0,0
36,160,1532,560,160,1035,440,1709,2831,1082,321,3541,5182,1189,174,440,0,0,0,0,0,0
35,145,1512,539,156,1020,415,1645,2745,1034,309,3504,5178,1185,162,433,0,0,0,0,0,0
32,139,1451,511,159,958,347,1555,2637,944,295,3448,5150,1170,153,430,0,0,0,0,0,0
29,128,1401,492,147,890,279,1478,2511,853,279,3382,5121,1128,138,418,0,0,0,0,0,0
24,104,1281,440,131,737,103,1276,2196,694,255,3267,5073,1099,123,400,0,0,0,0,0,0
23,97,1248,417,126,678,51,1202,2104,632,245,3230,5049,1082,119,397,0,0,0,0,0,0
23,99,1245,415,126,676,53,1193,2088,617,242,3231,5048,1080,118,396,0,0,0,0,0,0
24,104,1261,426,129,696,71,1226,2123,647,248,3269,5065,1089,124,401,0,0,0,0,0,0
25,110,1282,439,131,715,85,1257,2161,688,256,3306,5084,1100,130,405,0,0,0,0,0,0
26,114,1301,445,132,734,92,1275,2191,725,262,3333,5097,1107,134,410,0,0,0,0,0,0
27,121,1320,452,136,759,109,1330,2244,749,267,3359,5110,1113,137,410,0,0,0,0,0,0
36,147,1460,514,149,943,316,1565,2609,943,295,3480,5180,1154,152,428,0,0,0,0,0,0
44,186,1660,625,176,1170,567,1891,3076,1258,344,3703,5294,1227,183,458,0,0,0,0,0,0
47,225,1828,719,194,1340,700,2129,3391,1513,390,3928,5402,1304,215,489,0,0,0,0,0,0
48,243,1889,770,204,1393,741,2253,3505,1671,424,4104,5475,1348,236,509,0,0,0,0,0,0
48,239,1914,784,208,1406,741,2275,3527,1701,432,4133,5493,1352,249,513,0,0,0,0,0,0
48,226,1859,754,201,1353,686,2170,3428,1597,409,4049,5444,1326,228,495,0,0,0,0,0,0
45,212,1797,703,193,1309,675,2081,3326,1458,372,3892,5380,1281,204,478,0,0,0,0,0,0
41,192,1712,659,183,1238,620,1973,3206,1344,355,3761,5322,1261,196,470,0,0,0,0,0,0
39,180,1623,607,176,1147,567,1872,3055,1220,338,3643,5252,1221,177,459,0,0,0,0,0,0
40,177,1630,599,175,1154,567,1857,3046,1206,339,3644,5257,1216,176,460,0,0,0,0,0,0
42,181,1650,614,176,1159,579,1876,3069,1233,350,3655,5255,1227,177,459,0,0,0,0,0,0
42,175,1636,611,182,1156,593,1874,3091,1227,348,3634,5245,1214,176,458,0,0,0,0,0,0
38,164,1599,597,172,1122,552,1835,3045,1182,335,3617,5233,1212,171,456,0,0,0,0,0,0
36,155,1527,564,160,1027,433,1715,2841,1082,319,3544,5201,1197,159,439,0,0,0,0,0,0
34,149,1514,540,158,1003,388,1652,2754,1051,311,3502,5177,1191,157,439,0,0,0,0,0,0
31,137,1463,520,155,953,337,1548,2638,966,298,3453,5150,1159,156,435,0,0,0,0,0,0
29,127,1410,488,148,886,280,1451,2508,868,289,3392,5123,1132,142,420,0,0,0,0,0,0
25,103,1306,432,135,740,109,1280,2204,682,258,3287,5069,1094,127,401,0,0,0,0,0,0
23,100,1272,418,128,683,54,1211,2105,617,247,3252,5053,1082,124,397,0,0,0,0,0,0
23,99,1261,416,132,681,53,1203,2094,612,245,3248,5053,1083,121,397,0,0,0,0,0,0
24,104,1275,428,128,695,69,1231,2131,646,252,3283,5069,1090,124,401,0,0,0,0,0,0
25,113,1295,440,131,717,84,1259,2174,691,259,3320,5088,1103,128,406,0,0,0,0,0,0
27,118,1316,448,133,736,93,1283,2205,718,266,3356,5105,1111,133,410,0,0,0,0,0,0
28,127,1343,464,136,765,116,1334,2267,758,274,3387,5124,1120,137,414,0,0,0,0,0,0
33,158,1506,553,156,964,344,1602,2664,1015,309,3537,5204,1175,157,440,0,0,0,0,0,0
41,203,1719,654,183,1204,595,1946,3138,1330,356,3759,5319,1248,192,468,0,0,0,0,0,0
48,227,1834,717,198,1312,708,2122,3395,1537,393,3939,5410,1294,229,493,0,0,0,0,0,0
52,230,1847,729,197,1342,696,2148,3416,1567,392,3993,5460,1308,233,500,0,0,0,0,0,0
48,228,1831,718,198,1319,675,2138,3396,1516,392,3986,5452,1298,224,494,0,0,0,0,0,0
43,216,1787,701,194,1281,640,2075,3302,1448,381,3908,5395,1287,214,486,0,0,0,0,0,0
43,204,1754,690,188,1280,653,2052,3259,1401,369,3858,5352,1271,209,475,0,0,0,0,0,0
41,190,1688,647,183,1221,607,1978,3143,1343,358,3762,5301,1252,196,464,0,0,0,0,0,0
40,186,1650,622,180,1189,582,1926,3095,1291,351,3680,5269,1232,191,459,0,0,0,0,0,0
42,178,1644,610,176,1189,579,1890,3093,1282,360,3659,5258,1223,183,466,0,0,0,0,0,0
42,182,1654,615,173,1170,584,1862,3103,1267,351,3672,5257,1228,188,462,0,0,0,0,0,0
42,175,1641,602,171,1181,596,1865,3086,1230,350,3659,5247,1223,177,458,0,0,0,0,0,0
39,171,1611,594,169,1143,552,1831,3042,1168,338,3619,5236,1207,176,453,0,0,0,0,0,0
40,152,1535,566,161,1043,437,1698,2854,1076,319,3553,5199,1188,162,440,0,0,0,0,0,0
38,149,1508,546,158,988,397,1663,2776,1038,305,3519,5183,1184,168,433,0,0,0,0,0,0
31,145,1468,525,156,953,339,1585,2641,945,296,3466,5160,1155,148,424,0,0,0,0,0,0
29,126,1415,495,150,885,274,1480,2506,852,285,3398,5125,1138,137,417,0,0,0,0,0,0
24,102,1294,435,130,734,105,1282,2199,682,255,3276,5069,1096,127,405,0,0,0,0,0,0
23,97,1260,420,127,682,60,1213,2109,626,245,3241,5053,1081,122,397,0,0,0,0,0,0
23,99,1260,420,127,681,56,1206,2100,618,244,3243,5052,1079,120,397,0,0,0,0,0,0
24,105,1269,430,129,700,73,1235,2135,659,249,3283,5070,1090,126,401,0,0,0,0,0,0
25,111,1285,442,131,724,90,1268,2175,696,257,3315,5089,1102,131,406,0,0,0,0,0,0
26,114,1301,450,133,738,98,1286,2199,721,262,3339,5101,1108,135,410,0,0,0,0,0,0
27,119,1314,455,135,756,114,1312,2239,750,264,3355,5109,1112,137,413,0,0,0,0,0,0
32,144,1448,516,153,923,324,1543,2594,940,292,3474,5172,1152,150,429,0,0,0,0,0,0
40,182,1609,597,171,1118,541,1811,2993,1173,330,3648,5250,1212,177,450,0,0,0,0,0,0
43,189,1687,628,181,1237,621,1964,3192,1317,353,3742,5291,1251,197,466,0,0,0,0,0,0
42,199,1692,627,180,1251,587,1988,3188,1344,359,3764,5298,1259,195,469,0,0,0,0,0,0
41,201,1678,630,180,1221,567,1973,3153,1354,371,3783,5321,1250,194,469,0,0,0,0,0,0
45,211,1720,659,184,1213,567,1958,3172,1379,373,3803,5338,1249,204,469,0,0,0,0,0,0
43,212,1755,680,188,1264,652,2011,3251,1417,386,3836,5359,1271,214,470,0,0,0,0,0,0
48,204,1748,672,185,1246,661,2000,3245,1403,376,3834,5337,1266,198,473,0,0,0,0,0,0
44,201,1711,669,184,1257,641,1991,3246,1370,369,3808,5305,1256,208,474,0,0,0,0,0,0
46,193,1707,652,179,1246,607,1995,3189,1365,357,3783,5306,1252,223,472,0,0,0,0,0,0
46,183,1677,649,177,1228,597,1970,3156,1326,353,3749,5293,1250,197,472,0,0,0,0,0,0
41,177,1655,626,185,1187,610,1933,3133,1257,350,3683,5258,1230,183,453,0,0,0,0,0,0
40,169,1613,600,167,1140,562,1860,3046,1209,340,3613,5237,1213,171,448,0,0,0,0,0,0
39,155,1534,562,161,1050,439,1715,2837,1100,319,3544,5200,1191,163,440,0,0,0,0,0,0
34,150,1508,540,158,1000,389,1666,2759,1072,305,3518,5181,1175,160,430,0,0,0,0,0,0
31,145,1463,522,149,952,339,1580,2648,955,288,3462,5152,1162,158,424,0,0,0,0,0,0
29,126,1415,492,146,885,271,1471,2517,864,285,3393,5121,1134,149,418,0,0,0,0,0,0
24,105,1300,436,133,732,107,1272,2204,677,254,3277,5067,1089,127,403,0,0,0,0,0,0
23,100,1255,415,126,680,56,1199,2094,619,243,3233,5046,1079,123,397,0,0,0,0,0,0
24,98,1248,414,126,675,52,1191,2088,607,242,3231,5046,1079,120,398,0,0,0,0,0,0
24,104,1261,426,128,693,69,1223,2123,644,248,3267,5065,1088,124,402,0,0,0,0,0,0
25,110,1281,437,132,715,84,1259,2159,686,256,3302,5084,1099,130,405,0,0,0,0,0,0
26,114,1296,444,132,733,94,1281,2191,710,261,3326,5095,1107,132,409,0,0,0,0,0,0
27,121,1308,449,134,749,109,1298,2218,726,263,3342,5101,1109,136,411,0,0,0,0,0,0
33,142,1442,512,150,915,313,1506,2575,922,297,3452,5157,1153,151,425,0,0,0,0,0,0
39,170,1589,588,169,1094,528,1796,2974,1156,331,3606,5232,1209,172,446,0,0,0,0,0,0
46,190,1648,625,174,1180,615,1909,3156,1257,350,3676,5266,1223,186,463,0,0,0,0,0,0
41,192,1667,631,174,1190,577,1886,3131,1259,345,3670,5265,1231,192,464,0,0,0,0,0,0
40,188,1640,600,172,1159,532,1852,3069,1211,339,3655,5256,1227,194,456,0,0,0,0,0,0
39,181,1626,596,172,1142,517,1835,3049,1231,342,3649,5268,1220,193,453,0,0,0,0,0,0
