1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
69,336,1783,1622,179,1497,1035,2368,3140,2184,543,2825,2406,751,280,402,0,0,0,0,0,0
69,337,1785,1625,180,1505,1032,2382,3160,2186,543,2823,2405,752,280,402,0,0,0,0,0,0
69,337,1782,1625,180,1505,1028,2384,3167,2176,541,2814,2401,751,279,401,0,0,0,0,0,0
68,334,1762,1612,179,1484,1013,2348,3118,2145,537,2789,2388,742,276,398,0,0,0,0,0,0
68,328,1732,1591,176,1456,995,2302,3057,2100,533,2758,2373,730,271,394,0,0,0,0,0,0
68,328,1734,1586,176,1447,989,2282,3019,2085,536,2767,2378,726,268,393,0,0,0,0,0,0
68,325,1720,1577,174,1431,980,2254,2977,2062,534,2756,2372,719,265,391,0,0,0,0,0,0
67,322,1710,1570,173,1416,971,2228,2940,2039,532,2745,2367,713,263,390,0,0,0,0,0,0
67,320,1700,1564,172,1406,964,2213,2917,2025,530,2736,2362,709,261,388,0,0,0,0,0,0
67,318,1691,1559,171,1396,955,2199,2897,2009,529,2726,2358,705,260,387,0,0,0,0,0,0
67,317,1682,1554,170,1385,946,2185,2876,1993,527,2717,2353,701,258,386,0,0,0,0,0,0
66,315,1675,1550,170,1374,934,2171,2853,1979,525,2708,2349,698,257,384,0,0,0,0,0,0
66,314,1671,1548,169,1369,930,2165,2845,1973,524,2703,2347,697,256,384,0,0,0,0,0,0
66,314,1667,1545,169,1366,927,2160,2838,1970,523,2700,2345,697,256,383,0,0,0,0,0,0
66,313,1667,1546,169,1366,928,2160,2837,1970,523,2700,2345,697,256,383,0,0,0,0,0,0
66,314,1668,1546,169,1369,932,2162,2841,1973,523,2702,2346,697,256,384,0,0,0,0,0,0
66,315,1671,1548,169,1374,938,2169,2852,1978,524,2706,2348,698,257,384,0,0,0,0,0,0
66,317,1676,1551,170,1380,945,2177,2864,1987,526,2712,2352,700,257,385,0,0,0,0,0,0
67,320,1681,1555,170,1384,951,2184,2873,1993,527,2720,2355,702,258,386,0,0,0,0,0,0
67,322,1693,1562,172,1398,954,2205,2900,1999,530,2736,2363,706,258,388,0,0,0,0,0,0
67,321,1687,1558,171,1399,969,2202,2904,2012,528,2730,2361,706,261,387,0,0,0,0,0,0
68,325,1708,1571,173,1429,993,2249,2971,2058,533,2761,2377,718,265,392,0,0,0,0,0,0
68,328,1719,1579,175,1452,1003,2288,3028,2102,537,2783,2389,729,271,395,0,0,0,0,0,0
68,330,1730,1586,177,1469,1015,2317,3068,2148,539,2797,2396,740,276,399,0,0,0,0,0,0
