Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
GasRange_Comm,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ElecInduction_Comm,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GasFurnace_SpaceHeatComm,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ElecHeatPump_SpaceHeatComm,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GasFiredWHComm,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ElecHeatPumpWHComm,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_GasFurnace,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_ElecHeatPump_SpaceHeat,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_GasFurnaceComm,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_HeatPump_SpaceHeatComm,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_GasFurnace,Mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_ElecHeatPump_SpaceHeat,Mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_GasFurnaceComm,Mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_HeatPump_SpaceHeatComm,Mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_GasFurnace,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_ElecHeatPump_SpaceHeat,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_GasFurnaceComm,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC_HeatPump_SpaceHeatComm,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondo Heat Battery,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondo Heat Battery,Mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondo Heat Battery,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrogen-to-Heat,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrogen-to-Heat,Mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrogen-to-Heat,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Boiler,Low,10.0,9.966666667,9.933333333,9.9,9.866666667,9.833333333,9.8,9.766666667,9.733333333,9.7,9.666666667,9.633333333,9.6,9.566666667,9.533333333,9.5,9.466666667,9.433333333,9.4,9.366666667,9.333333333,9.3,9.266666667,9.233333333,9.2,9.166666667,9.133333333,9.1,9.066666667,9.033333333,9.0
Electric Boiler,Mid,10.0,9.966666667,9.933333333,9.9,9.866666667,9.833333333,9.8,9.766666667,9.733333333,9.7,9.666666667,9.633333333,9.6,9.566666667,9.533333333,9.5,9.466666667,9.433333333,9.4,9.366666667,9.333333333,9.3,9.266666667,9.233333333,9.2,9.166666667,9.133333333,9.1,9.066666667,9.033333333,9.0
Electric Boiler,High,10.0,9.966666667,9.933333333,9.9,9.866666667,9.833333333,9.8,9.766666667,9.733333333,9.7,9.666666667,9.633333333,9.6,9.566666667,9.533333333,9.5,9.466666667,9.433333333,9.4,9.366666667,9.333333333,9.3,9.266666667,9.233333333,9.2,9.166666667,9.133333333,9.1,9.066666667,9.033333333,9.0
DAC-LS,Low,1000000000.0,1000000000.0,215.07197959050944,215.07197959050944,215.07197959050944,108.35260188945102,104.346551592279,100.48861438795032,96.77331418738866,93.19537736539847,89.74972527509954,86.43146703912055,83.23589260731919,80.15846607117437,77.19481922536156,74.34074536737135,71.59219332637102,68.9452617128328,66.39619338076734,63.94137009470086,61.5773073938272,59.30064964604393,57.10816528485243,54.996742222361064,52.963383431880246,51.0052026938395,49.11942049898784,47.303360103062595,45.55444372732617,43.870188899578196,42.2482049304488
DAC-LS,Mid,1000000000.0,1000000000.0,215.07197959050944,215.07197959050944,215.07197959050944,108.35260188945102,104.346551592279,100.48861438795032,96.77331418738866,93.19537736539847,89.74972527509954,86.43146703912055,83.23589260731919,80.15846607117437,77.19481922536156,74.34074536737135,71.59219332637102,68.9452617128328,66.39619338076734,63.94137009470086,61.5773073938272,59.30064964604393,57.10816528485243,54.996742222361064,52.963383431880246,51.0052026938395,49.11942049898784,47.303360103062595,45.55444372732617,43.870188899578196,42.2482049304488
DAC-LS,High,1000000000.0,1000000000.0,215.07197959050944,215.07197959050944,215.07197959050944,108.35260188945102,104.346551592279,100.48861438795032,96.77331418738866,93.19537736539847,89.74972527509954,86.43146703912055,83.23589260731919,80.15846607117437,77.19481922536156,74.34074536737135,71.59219332637102,68.9452617128328,66.39619338076734,63.94137009470086,61.5773073938272,59.30064964604393,57.10816528485243,54.996742222361064,52.963383431880246,51.0052026938395,49.11942049898784,47.303360103062595,45.55444372732617,43.870188899578196,42.2482049304488
DAC-SS,Low,1000000000.0,202.36848537065234,202.36848537065234,202.36848537065234,194.11290102987746,133.51143613180122,127.13301636313717,121.05932134258472,115.27579304864652,109.76856895958754,104.52444882639824,99.53086303315686,94.77584246895468,90.2479898391695,85.93645234732433,81.83089568205175,77.9214792468138,74.19883257300548,70.6540328599064,67.27858358764648,64.06439415192256,61.0037604716533,58.08934652308999,55.3141667561232,52.67156935063849,50.15522027278858,47.75908809296662,45.47742952909032,43.30477568054647,41.23591891979914,39.26590041024296
DAC-SS,Mid,1000000000.0,202.36848537065234,202.36848537065234,202.36848537065234,194.11290102987746,133.51143613180122,127.13301636313717,121.05932134258472,115.27579304864652,109.76856895958754,104.52444882639824,99.53086303315686,94.77584246895468,90.2479898391695,85.93645234732433,81.83089568205175,77.9214792468138,74.19883257300548,70.6540328599064,67.27858358764648,64.06439415192256,61.0037604716533,58.08934652308999,55.3141667561232,52.67156935063849,50.15522027278858,47.75908809296662,45.47742952909032,43.30477568054647,41.23591891979914,39.26590041024296
DAC-SS,High,1000000000.0,202.36848537065234,202.36848537065234,202.36848537065234,194.11290102987746,133.51143613180122,127.13301636313717,121.05932134258472,115.27579304864652,109.76856895958754,104.52444882639824,99.53086303315686,94.77584246895468,90.2479898391695,85.93645234732433,81.83089568205175,77.9214792468138,74.19883257300548,70.6540328599064,67.27858358764648,64.06439415192256,61.0037604716533,58.08934652308999,55.3141667561232,52.67156935063849,50.15522027278858,47.75908809296662,45.47742952909032,43.30477568054647,41.23591891979914,39.26590041024296
