Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Comm Solar PV,High,19.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0
Wind,Low,43.0,42.0,41.0,40.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,34.0,33.0,33.0,32.0,32.0,31.0,31.0,30.0,30.0,29.0,29.0,28.0,28.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0
Wind,Mid,43.0,43.0,42.0,42.0,41.0,41.0,41.0,40.0,40.0,39.0,39.0,39.0,38.0,38.0,38.0,37.0,37.0,37.0,37.0,36.0,36.0,36.0,35.0,35.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0
Wind,High,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0
OffshoreWind,Low,130.0,112.0,102.0,94.0,89.0,84.0,80.0,76.0,73.0,71.0,68.0,66.0,64.0,62.0,60.0,59.0,57.0,56.0,54.0,53.0,52.0,50.0,49.0,48.0,47.0,46.0,45.0,44.0,43.0,42.0,42.0
OffshoreWind,Mid,130.0,112.0,102.0,94.0,89.0,84.0,80.0,76.0,73.0,71.0,68.0,66.0,64.0,62.0,60.0,59.0,57.0,56.0,54.0,53.0,52.0,50.0,49.0,48.0,47.0,46.0,45.0,44.0,43.0,42.0,42.0
OffshoreWind,High,130.0,112.0,102.0,94.0,89.0,84.0,80.0,76.0,73.0,71.0,68.0,66.0,64.0,62.0,60.0,59.0,57.0,56.0,54.0,53.0,52.0,50.0,49.0,48.0,47.0,46.0,45.0,44.0,43.0,42.0,42.0
Biopower,Low,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0
Biopower,Mid,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0
Biopower,High,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0
