,Node_ELEC,Node_GAS,Gen_ID,Prime Mover,Fuel,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Pmin [p.u.],Pmax [p.u.],Ramp Down Rate [p.u.],Ramp Up Rate [p.u.],Min Up Time [hours],Min Down Time [hours],is_Renewable [bin.],Heat Rate [MMBTU/MWh],is_NGFueled [bin.],Emissions Factor [kgCO2/MMBTU],Startup Cost [$/start],Econmic Lifetime [years],Lifetime [years],Startup Fuel [MMBtu/start],Install Year,Forced Retirement
0,1,1,GEN01,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
1,1,1,GEN02,Natural Gas CC,Natural Gas,0.0,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
2,1,1,GEN03,Natural Gas CT,Natural Gas,1.67,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
3,1,1,GEN04,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
4,1,1,GEN05,Biopower,Biomass,0.651,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
5,1,1,GEN06,Solar Thermal,UtilityPV,0.0,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
6,1,1,GEN07,Solar PV,UtilityPV,0.023,100,5,65,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
7,1,1,GEN08,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
8,1,1,GEN09,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
9,1,1,GEN10,Wind,LandbasedWind,0.0,100,5,3,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
10,1,1,GEN11,Geothermal,Geothermal,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
11,1,1,GEN12,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
12,1,1,GEN13,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
13,1,1,GEN14,Hydropower,Hydro,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
14,2,2,GEN15,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
15,2,2,GEN16,Natural Gas CC,Natural Gas,0.0,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
16,2,2,GEN17,Natural Gas CT,Natural Gas,0.093,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
17,2,2,GEN18,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
18,2,2,GEN19,Biopower,Biomass,0.164,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
19,2,2,GEN20,Solar Thermal,UtilityPV,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
20,2,2,GEN21,Solar PV,UtilityPV,0.234,100,5,269,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
21,2,2,GEN22,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
22,2,2,GEN23,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
23,2,2,GEN24,Wind,LandbasedWind,0.0,100,5,8,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
24,2,2,GEN25,Geothermal,Geothermal,17.174,100,4,4,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
25,2,2,GEN26,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
26,2,2,GEN27,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
27,2,2,GEN28,Hydropower,Hydro,0.422,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
28,3,3,GEN29,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
29,3,3,GEN30,Natural Gas CC,Natural Gas,22.505,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
30,3,3,GEN31,Natural Gas CT,Natural Gas,3.366,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
