Node_ELEC,Node_GAS,DistID_ELEC,DistID_GAS,Service Name,Appliance Name,Appliance Count [no.],Lifetime [years],is_hybrid [bin.],Upgrade Cost (Low) [$],Upgrade Cost (High) [$]
1,1,1,1,Res_WaterHeating,GasFiredWH,43711,20,0,0,0
2,2,2,2,Res_WaterHeating,GasFiredWH,332765,20,0,0,0
3,3,3,3,Res_WaterHeating,GasFiredWH,1206017,20,0,0,0
4,4,4,4,Res_WaterHeating,GasFiredWH,490614,20,0,0,0
5,5,5,5,Res_WaterHeating,GasFiredWH,91614,20,0,0,0
6,6,6,6,Res_WaterHeating,GasFiredWH,879378,20,0,0,0
7,7,7,7,Res_WaterHeating,GasFiredWH,635662,20,0,0,0
8,8,8,8,Res_WaterHeating,GasFiredWH,972668,20,0,0,0
9,9,9,9,Res_WaterHeating,GasFiredWH,1528794,20,0,0,0
10,10,10,10,Res_WaterHeating,GasFiredWH,1053512,20,0,0,0
11,11,11,11,Res_WaterHeating,GasFiredWH,346180,20,0,0,0
12,12,12,12,Res_WaterHeating,GasFiredWH,1270588,20,0,0,0
13,13,13,13,Res_WaterHeating,GasFiredWH,707528,20,0,0,0
14,14,14,14,Res_WaterHeating,GasFiredWH,267929,20,0,0,0
15,15,15,15,Res_WaterHeating,GasFiredWH,116935,20,0,0,0
16,16,16,16,Res_WaterHeating,GasFiredWH,108208,20,0,0,0
1,1,1,1,Res_WaterHeating,ElecHeatPumpWH,22523,20,0,853,853
2,2,2,2,Res_WaterHeating,ElecHeatPumpWH,39400,20,0,647,647
3,3,3,3,Res_WaterHeating,ElecHeatPumpWH,75831,20,0,750,750
4,4,4,4,Res_WaterHeating,ElecHeatPumpWH,17258,20,0,653,653
5,5,5,5,Res_WaterHeating,ElecHeatPumpWH,6931,20,0,683,683
6,6,6,6,Res_WaterHeating,ElecHeatPumpWH,74913,20,0,762,762
7,7,7,7,Res_WaterHeating,ElecHeatPumpWH,58397,20,0,644,644
8,8,8,8,Res_WaterHeating,ElecHeatPumpWH,49867,20,0,698,698
9,9,9,9,Res_WaterHeating,ElecHeatPumpWH,77764,20,0,742,742
