Time (seconds),Speed (mph),Grade (rise/run),Key On/Off (1/0),Engine Speed (rpm),Engine Torque (Nm),Engine Power (kW),Speed (m/s),Acceleration (m/s2),P_W (kW),eta_RB,P_T (kW),EC_cum (kWh),ER_cum (kWh),SOC,break_length,charging_break (bool),SOC_wBreakCharging,charging_power_existing_breaks (kW),charging_power_depletion_breaks (kW),charging_power_after_cycle (kW),charging_power_total (kW)
52,0.0,0.0,1.0,600.38,122.8,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
53,0.0,0.0,1.0,600.75,122.8,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
54,0.0,0.0,1.0,599.12,122.8,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
55,0.0,0.0,1.0,601.62,122.8,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
56,0.0,0.0,1.0,598.75,122.8,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
57,0.0,0.0,1.0,600.25,122.8,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
58,0.0,0.0,1.0,601.0,122.8,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
59,0.0,0.0,1.0,599.25,122.8,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
60,0.0,0.0,1.0,600.25,122.8,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
61,0.0,0.0,1.0,601.62,122.8,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
62,0.0,0.0,1.0,599.75,122.8,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
63,0.0,0.0,1.0,601.5,122.8,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
64,0.0,0.0,1.0,600.12,122.8,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
65,0.0,0.0,1.0,600.25,122.8,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
66,0.0,0.0,1.0,600.38,122.8,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
67,0.0,0.0,1.0,609.5,98.24,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
68,0.0,0.0,1.0,602.62,98.24,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
69,0.0,0.0,1.0,599.38,98.24,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
70,0.0,0.0,1.0,599.25,98.24,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
71,0.0,0.0,1.0,599.5,98.24,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
72,0.0,0.0,1.0,600.5,98.24,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
73,0.0,0.0,1.0,599.62,98.24,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
74,0.0,0.0,1.0,600.0,98.24,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
75,0.0,0.0,1.0,600.25,98.24,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
76,0.0,0.0,1.0,600.38,98.24,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
77,0.0,0.0,1.0,600.38,98.24,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
78,0.0,0.0,1.0,600.12,98.24,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
79,0.0,0.0,1.0,601.0,98.24,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
80,0.0,0.0,1.0,600.12,98.24,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
81,0.0,0.0,1.0,599.88,98.24,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
82,0.0,0.0,1.0,600.75,98.24,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
83,0.0,0.0,1.0,599.25,98.24,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
84,0.0,0.0,1.0,600.75,98.24,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
85,0.0,0.0,1.0,598.0,98.24,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
86,0.0,0.0,1.0,601.25,98.24,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
87,0.0,0.0,1.0,599.62,98.24,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
88,0.0,0.0,1.0,601.5,98.24,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
89,0.0,0.0,1.0,598.62,98.24,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
90,0.0,0.0,1.0,600.38,98.24,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
91,0.0,0.0,1.0,599.0,98.24,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
92,0.0,0.0,1.0,599.12,98.24,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
93,0.0,0.0,1.0,599.75,98.24,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
